year,quarter,region,life_satisfaction,worthwhile,happiness,anxiety,wellbeing_index,often,some_time,occasionally,hardly_ever,never,lonely_at_least_occasionally_pct,lonely_often_or_sometimes_pct
2025,1,North East,6.9,7.4,7.0,3.9,4.35,9,19,19,28,23,47,28
2025,1,North West,6.9,7.3,6.9,3.7,4.35,7,19,22,30,19,48,26
2025,1,Yorkshire and The Humber,6.9,7.0,7.1,3.9,4.28,9,20,27,26,17,56,29
2025,1,East Midlands,6.8,7.2,7.0,4.0,4.25,6,21,25,26,20,52,27
2025,1,West Midlands,6.8,7.1,6.9,3.9,4.22,5,21,20,29,22,46,26
2025,1,East of England,7.1,7.3,7.0,3.9,4.38,5,18,24,30,20,47,23
2025,1,London,6.7,7.3,6.9,4.1,4.2,7,22,25,29,13,54,29
2025,1,South East,6.9,7.3,7.0,4.0,4.3,6,18,27,28,18,51,24
2025,1,South West,6.9,7.3,7.0,3.8,4.35,7,18,22,32,18,47,25
2025,2,North East,6.7,7.2,7.0,4.0,4.22,6,18,28,25,18,52,24
2025,2,North West,6.8,7.2,7.0,3.8,4.3,7,19,25,30,17,51,26
2025,2,Yorkshire and The Humber,6.9,7.3,7.1,3.9,4.35,7,19,25,33,15,51,26
2025,2,East Midlands,7.0,7.3,7.1,4.1,4.32,5,17,27,30,19,49,22
2025,2,West Midlands,6.8,7.1,6.8,3.9,4.2,8,18,24,31,17,50,26
2025,2,East of England,7.0,7.4,7.2,3.6,4.5,6,18,24,31,18,48,24
2025,2,London,6.8,7.2,6.9,4.0,4.22,8,18,27,26,18,53,26
2025,2,South East,6.9,7.3,7.1,3.9,4.35,6,17,25,32,18,48,23
2025,2,South West,7.0,7.2,7.1,3.8,4.37,7,17,26,32,18,50,24
2025,3,North East,6.7,7.2,7.0,4.5,4.1,12,23,20,29,14,55,35
2025,3,North West,6.7,7.1,6.7,4.0,4.12,7,23,23,28,18,53,30
2025,3,Yorkshire and The Humber,6.7,7.0,6.7,4.2,4.05,10,17,24,26,18,51,27
2025,3,East Midlands,6.8,7.0,6.9,4.0,4.18,9,15,27,29,18,51,24
2025,3,West Midlands,6.6,6.9,6.7,4.0,4.05,10,22,21,25,19,53,32
2025,3,East of England,7.0,7.4,7.2,4.0,4.4,4,18,22,32,21,44,22
2025,3,London,6.9,7.2,7.1,4.1,4.28,5,19,28,29,16,52,24
2025,3,South East,6.9,7.3,7.1,3.8,4.37,7,17,26,29,19,50,24
2025,3,South West,7.0,7.3,7.1,3.6,4.45,6,17,27,29,19,50,23
2025,4,North East,6.7,6.9,6.8,4.2,4.05,8,26,20,27,18,54,34
2025,4,North West,6.8,7.2,6.9,3.9,4.25,6,18,24,33,17,48,24
2025,4,Yorkshire and The Humber,6.9,7.4,7.2,4.0,4.38,6,12,27,30,22,45,18
2025,4,East Midlands,6.7,7.0,6.8,3.9,4.15,7,15,27,32,16,49,22
2025,4,West Midlands,7.0,7.3,7.0,4.1,4.3,5,16,31,28,18,52,21
2025,4,East of England,6.7,7.2,6.9,3.9,4.23,10,16,32,23,18,58,26
2025,4,London,6.7,7.2,6.9,4.1,4.18,7,15,29,30,15,51,22
2025,4,South East,6.8,7.2,7.0,3.9,4.28,5,19,25,29,19,49,24
2025,4,South West,6.8,7.2,7.0,4.1,4.22,6,20,22,31,19,48,26
