year,quarter,geography_level,geography,life_satisfaction,worthwhile,happiness,anxiety,wellbeing_index,often,some_time,occasionally,hardly_ever,never,lonely_at_least_occasionally_pct,lonely_often_or_sometimes_pct
2025,1,country,England,6.9,7.3,7.0,3.9,4.32,7,20,24,29,18,51,27
2025,1,country,Scotland,7.0,7.4,7.0,3.7,4.42,8,15,22,33,20,45,23
2025,1,country,Wales,7.1,7.3,7.0,3.8,4.4,6,15,30,28,18,51,21
2025,1,national,Great Britain,6.9,7.3,7.0,3.9,4.32,7,19,24,29,19,50,26
2025,1,region,East Midlands,6.8,7.2,7.0,4.0,4.25,6,21,25,26,20,52,27
2025,1,region,East of England,7.1,7.3,7.0,3.9,4.38,5,18,24,30,20,47,23
2025,1,region,London,6.7,7.3,6.9,4.1,4.2,7,22,25,29,13,54,29
2025,1,region,North East,6.9,7.4,7.0,3.9,4.35,9,19,19,28,23,47,28
2025,1,region,North West,6.9,7.3,6.9,3.7,4.35,7,19,22,30,19,48,26
2025,1,region,South East,6.9,7.3,7.0,4.0,4.3,6,18,27,28,18,51,24
2025,1,region,South West,6.9,7.3,7.0,3.8,4.35,7,18,22,32,18,47,25
2025,1,region,West Midlands,6.8,7.1,6.9,3.9,4.22,5,21,20,29,22,46,26
2025,1,region,Yorkshire and The Humber,6.9,7.0,7.1,3.9,4.28,9,20,27,26,17,56,29
2025,2,country,England,6.9,7.2,7.0,3.9,4.3,7,18,25,30,17,50,25
2025,2,country,Scotland,7.0,7.2,7.1,3.9,4.35,9,17,24,28,20,50,26
2025,2,country,Wales,6.8,7.3,7.0,3.9,4.3,8,17,25,29,19,50,25
2025,2,national,Great Britain,6.9,7.2,7.0,3.9,4.3,7,18,25,30,18,50,25
2025,2,region,East Midlands,7.0,7.3,7.1,4.1,4.32,5,17,27,30,19,49,22
2025,2,region,East of England,7.0,7.4,7.2,3.6,4.5,6,18,24,31,18,48,24
2025,2,region,London,6.8,7.2,6.9,4.0,4.22,8,18,27,26,18,53,26
2025,2,region,North East,6.7,7.2,7.0,4.0,4.22,6,18,28,25,18,52,24
2025,2,region,North West,6.8,7.2,7.0,3.8,4.3,7,19,25,30,17,51,26
2025,2,region,South East,6.9,7.3,7.1,3.9,4.35,6,17,25,32,18,48,23
2025,2,region,South West,7.0,7.2,7.1,3.8,4.37,7,17,26,32,18,50,24
2025,2,region,West Midlands,6.8,7.1,6.8,3.9,4.2,8,18,24,31,17,50,26
2025,2,region,Yorkshire and The Humber,6.9,7.3,7.1,3.9,4.35,7,19,25,33,15,51,26
2025,3,country,England,6.8,7.2,6.9,4.0,4.22,7,19,25,29,18,51,26
2025,3,country,Scotland,7.0,7.3,7.1,3.7,4.42,4,19,26,29,20,49,23
2025,3,country,Wales,6.6,6.8,6.7,4.1,4.0,8,23,27,27,13,58,31
2025,3,national,Great Britain,6.8,7.2,6.9,4.0,4.22,7,19,25,29,18,51,26
2025,3,region,East Midlands,6.8,7.0,6.9,4.0,4.18,9,15,27,29,18,51,24
2025,3,region,East of England,7.0,7.4,7.2,4.0,4.4,4,18,22,32,21,44,22
2025,3,region,London,6.9,7.2,7.1,4.1,4.28,5,19,28,29,16,52,24
2025,3,region,North East,6.7,7.2,7.0,4.5,4.1,12,23,20,29,14,55,35
2025,3,region,North West,6.7,7.1,6.7,4.0,4.12,7,23,23,28,18,53,30
2025,3,region,South East,6.9,7.3,7.1,3.8,4.37,7,17,26,29,19,50,24
2025,3,region,South West,7.0,7.3,7.1,3.6,4.45,6,17,27,29,19,50,23
2025,3,region,West Midlands,6.6,6.9,6.7,4.0,4.05,10,22,21,25,19,53,32
2025,3,region,Yorkshire and The Humber,6.7,7.0,6.7,4.2,4.05,10,17,24,26,18,51,27
2025,4,country,England,6.8,7.2,6.9,4.0,4.22,7,17,27,29,18,51,24
2025,4,country,Scotland,6.9,7.3,7.0,3.9,4.32,9,19,26,28,17,54,28
2025,4,country,Wales,6.8,7.2,7.0,4.3,4.18,10,18,18,32,19,46,28
2025,4,national,Great Britain,6.8,7.2,7.0,4.0,4.25,7,17,26,29,18,50,24
2025,4,region,East Midlands,6.7,7.0,6.8,3.9,4.15,7,15,27,32,16,49,22
2025,4,region,East of England,6.7,7.2,6.9,3.9,4.23,10,16,32,23,18,58,26
2025,4,region,London,6.7,7.2,6.9,4.1,4.18,7,15,29,30,15,51,22
2025,4,region,North East,6.7,6.9,6.8,4.2,4.05,8,26,20,27,18,54,34
2025,4,region,North West,6.8,7.2,6.9,3.9,4.25,6,18,24,33,17,48,24
2025,4,region,South East,6.8,7.2,7.0,3.9,4.28,5,19,25,29,19,49,24
2025,4,region,South West,6.8,7.2,7.0,4.1,4.22,6,20,22,31,19,48,26
2025,4,region,West Midlands,7.0,7.3,7.0,4.1,4.3,5,16,31,28,18,52,21
2025,4,region,Yorkshire and The Humber,6.9,7.4,7.2,4.0,4.38,6,12,27,30,22,45,18
